Date;PIB;IPC;Tasa_actividad;Tasa_paro;IPRI;IPI;IPRIX;IPRIM;Deficit_publico;IBEX35
2021-12-01;106448;103.97;58.65;13.33;136.31;105.37;120.17;122.1;-82.82;8713.8
2021-11-01;106448;102.74;58.65;13.33;132.06;105.42;118.01;121.61;-82.82;8305.1
2021-10-01;106448;102.43;58.65;13.33;130.41;103.11;117.24;119.49;-82.82;9057.7
2021-09-01;101842;100.58;59.14;14.57;123.08;102.61;114.07;112.21;-82.82;8796.3
2021-08-01;101842;99.74;59.14;14.57;116.79;101.41;111.66;110.97;-82.82;8846.6
2021-07-01;101842;99.29;59.14;14.57;114.72;101.03;110.68;109.81;-82.82;8675.7
2021-06-01;97599;100.05;58.58;15.26;112.52;100.64;108.69;107.08;-82.82;8821.2
2021-05-01;97599;99.57;58.58;15.26;110.06;101.99;107.78;105.51;-82.82;9148.9
2021-04-01;97599;99.11;58.58;15.26;108.35;103.85;107.02;104.53;-82.82;8815
2021-03-01;96390;97.95;57.69;15.98;105.19;104.18;105.8;102.67;-82.82;8580
2021-02-01;96390;97.01;57.69;15.98;102.52;103.08;103.98;101.72;-82.82;8225
2021-01-01;96390;97.58;57.69;15.98;104.28;103.2;103.57;99.81;-82.82;7757.5
2020-12-01;96217;97.57;58.19;16.13;100.84;103.43;101.99;97.8;-115.2;8073.7
2020-11-01;96217;97.37;58.19;16.13;99.89;102.14;101.35;97.14;-115.2;8076.9
2020-10-01;96217;97.21;58.19;16.13;98.96;103.27;101.23;96.9;-115.2;6452.2
2020-09-01;95648;96.7;57.83;16.26;99.43;101.88;101.21;97.26;-115.2;6716.6
2020-08-01;95648;96.56;57.83;16.26;99.06;100.18;100.67;97.31;-115.2;6969.5
2020-07-01;95648;96.51;57.83;16.26;99.24;97.32;100.32;97.2;-115.2;6877.4
2020-06-01;81694;97.39;55.54;15.33;97.47;90.21;99.85;97.19;-115.2;7231.4
2020-05-01;81694;96.94;55.54;15.33;95.53;81.13;99.24;97.16;-115.2;7096.5
2020-04-01;81694;96.94;55.54;15.33;95.9;70.2;99.34;98.61;-115.2;6922.3
2020-03-01;99103;96.65;58.18;14.41;98.87;91.49;100.76;101.24;-115.2;6785.4
2020-02-01;99103;97.02;58.18;14.41;101.95;105.4;102.68;105.06;-115.2;8723.2
2020-01-01;99103;97.14;58.18;14.41;103.3;105.65;102.88;105.96;-115.2;9367.9
2019-12-01;104973;98.1;58.74;13.78;102.32;105;102.72;106.16;-38.12;9549.2
2019-11-01;104973;98.17;58.74;13.78;102.71;106.15;102.95;105.82;-38.12;9352
2019-10-01;104973;98;58.74;13.78;103.3;105.19;102.97;105.99;-38.12;9257.5
2019-09-01;103797;97.06;58.72;13.92;102.78;105.5;102.97;106.04;-38.12;9244.6
2019-08-01;103797;97.06;58.72;13.92;102.69;106.05;102.52;105.67;-38.12;8812.9
2019-07-01;103797;97.11;58.72;13.92;104.32;105.3;102.96;105.35;-38.12;8971
2019-06-01;103359;97.72;58.74;14.02;103.62;106.09;102.81;105.41;-38.12;9198.8
2019-05-01;103359;97.83;58.74;14.02;104.74;106.79;103.64;106.86;-38.12;9004.2
2019-04-01;103359;97.64;58.74;14.02;104.69;106.52;103.81;106.8;-38.12;9570.6
2019-03-01;103041;96.67;58.35;14.7;103.99;106.32;103.14;105.92;-38.12;9240.3
2019-02-01;103041;96.32;58.35;14.7;104.3;106.63;103;106.83;-38.12;9277.7
2019-01-01;103041;96.09;58.35;14.7;104.29;107.35;102.84;105.99;-38.12;9056.7
2018-12-01;101939;97.33;58.61;14.45;104.13;104.27;102.78;106.7;-31.22;8539.9
2018-11-01;101939;97.77;58.61;14.45;105.19;104.58;103.54;108.2;-31.22;9077.2
2018-10-01;101939;97.88;58.61;14.45;106.31;106.23;103.96;108.8;-31.22;8893.5
2018-09-01;100689;96.98;58.73;14.55;106.27;105.29;104.07;107.3;-31.22;9389.2
2018-08-01;100689;96.74;58.73;14.55;105.44;105.42;103.74;107.08;-31.22;9399.1
2018-07-01;100689;96.6;58.73;14.55;105.02;104.63;103.43;106.98;-31.22;9870.7
2018-06-01;99865;97.3;58.8;15.28;104.5;104.54;103.6;106.21;-31.22;9622.7
2018-05-01;99865;97.05;58.8;15.28;103.52;105.67;102.81;105.4;-31.22;9465.5
2018-04-01;99865;96.18;58.8;15.28;102.22;105.31;101.79;103.69;-31.22;9980.6
2018-03-01;98792;95.39;58.46;16.74;101.52;107.72;101.72;102.97;-31.22;9600.4
2018-02-01;98792;95.28;58.46;16.74;102.55;106.56;102.26;102.85;-31.22;9840.3
2018-01-01;98792;95.15;58.46;16.74;102.55;105.36;102.55;103.28;-31.22;10451.5
2017-12-01;98514;96.19;58.8;16.55;102.38;109.39;102.69;103.16;-36.06;10043.9
2017-11-01;98514;96.15;58.8;16.55;102.18;107.61;102.58;102.98;-36.06;10211
2017-10-01;98514;95.71;58.8;16.55;101.66;106.4;102.11;102.05;-36.06;10523.5
2017-09-01;97114;94.84;58.92;16.38;100.88;105.32;101.74;101.25;-36.06;10381.5
2017-08-01;97114;94.67;58.92;16.38;100.28;104.64;101.49;100.9;-36.06;10299.5
2017-07-01;97114;94.48;58.92;16.38;100.34;104.24;101.27;100.88;-36.06;10502.2
2017-06-01;96558;95.14;58.84;17.22;100.44;104.5;101.52;101.15;-36.06;10444.5
2017-05-01;96558;95.1;58.84;17.22;100.45;104.49;101.7;101.81;-36.06;10880
2017-04-01;96558;95.15;58.84;17.22;100.38;103.3;102.11;102.92;-36.06;10715.8
2017-03-01;95310;94.25;58.78;18.75;100.29;103.29;101.66;102.43;-36.06;10462.9
2017-02-01;95310;94.27;58.78;18.75;101.29;103.49;101.9;103.17;-36.06;9555.5
2017-01-01;95310;94.61;58.78;18.75;102.52;104.23;101.62;103.17;-36.06;9315.2
2016-12-01;94018;95.13;58.95;18.63;100.65;103.25;100.92;102.3;-47.89;9352.1
2016-11-01;94018;94.57;58.95;18.63;99.07;103.22;99.98;100.14;-47.89;8688.2
2016-10-01;94018;94.23;58.95;18.63;98.89;102.17;99.42;99.14;-47.89;9143.3
2016-09-01;93436;93.17;59.28;18.91;97.43;101.9;98.71;97.79;-47.89;8779.4
2016-08-01;93436;93.16;59.28;18.91;97.11;102.14;98.33;97.28;-47.89;8716.8
2016-07-01;93436;93.04;59.28;18.91;97.37;100.8;98.48;97.03;-47.89;8587.2
2016-06-01;92324;93.72;59.41;20;97.36;100.66;98.27;96.74;-47.89;8163.3
2016-05-01;92324;93.29;59.41;20;95.44;100.35;97.35;96.25;-47.89;9034
2016-04-01;92324;92.79;59.41;20;94.68;102.55;96.99;95.09;-47.89;9025.7
2016-03-01;91694;92.14;59.29;21;94.82;102.36;96.87;95.11;-47.89;8723.1
2016-02-01;91694;91.55;59.29;21;94.3;101.45;96.62;94.17;-47.89;8461.4
2016-01-01;91694;91.88;59.29;21;95.33;101.84;97.45;94.62;-47.89;8815.8
2015-12-01;91018;93.66;59.43;20.9;97.81;100.3;98.68;96.83;-57.24;9544.2
2015-11-01;91018;93.94;59.43;20.9;98.49;100.49;99.2;98.18;-57.24;10386.9
2015-10-01;91018;93.6;59.43;20.9;98.64;100.56;99.18;98.03;-57.24;10360.7
2015-09-01;90250;93;59.5;21.18;99.39;101.18;99.62;98.04;-57.24;9559.9
2015-08-01;90250;93.29;59.5;21.18;100.3;99.79;100.24;99.78;-57.24;10259
2015-07-01;90250;93.6;59.5;21.18;102.07;102.07;101.28;101.39;-57.24;11180.7
2015-06-01;89446;94.47;59.79;22.37;101.97;101.12;101.05;102.23;-57.24;10769.5
2015-05-01;89446;94.22;59.79;22.37;101.05;100.93;100.76;102.62;-57.24;11217.6
2015-04-01;89446;93.77;59.79;22.37;100.71;99.76;100.77;102.05;-57.24;11385
2015-03-01;88649;92.92;59.45;23.78;100.24;98.84;100.19;101.65;-57.24;11521.1
2015-02-01;88649;92.33;59.45;23.78;99.79;98.11;99.6;100.03;-57.24;11178.3
2015-01-01;88649;92.14;59.45;23.78;99.55;96.86;99.45;99.17;-57.24;10403.3
2014-12-01;86897;93.65;59.77;23.7;100.03;96.65;99.7;101.06;-63.1;10279.5
2014-11-01;86897;94.2;59.77;23.7;101.1;96.42;100.1;103.4;-63.1;10770.7
2014-10-01;86897;94.26;59.77;23.7;102.28;96.82;100.52;104.8;-63.1;10477.8
2014-09-01;86132;93.82;59.53;23.67;103.12;97.26;100.8;105.68;-63.1;10825.5
2014-08-01;86132;93.68;59.53;23.67;102.55;97.02;100.44;105.46;-63.1;10728.8
2014-07-01;86132;93.53;59.53;23.67;103.44;96.55;100.37;105.49;-63.1;10707.2
2014-06-01;85704;94.42;59.63;24.47;103.38;96.64;100.23;105.57;-63.1;10923.5
2014-05-01;85704;94.4;59.63;24.47;102.51;97.13;99.82;105.21;-63.1;10798.7
2014-04-01;85704;94.37;59.63;24.47;101.65;97.52;99.27;104.57;-63.1;10459
2014-03-01;85468;93.54;59.46;25.93;101.52;96.48;99.23;104.69;-63.1;10340.5
2014-02-01;85468;93.33;59.46;25.93;101.37;97.12;99.2;105.86;-63.1;10114.2
2014-01-01;85468;93.37;59.46;25.93;102.4;96.55;100.02;105.97;-63.1;9920.2
2013-12-01;84860;94.63;59.86;25.73;103.8;96.68;100.81;105.72;-76.84;9916.7
2013-11-01;84860;94.55;59.86;25.73;102.64;96.43;100.86;105.88;-76.84;9837.6
2013-10-01;84860;94.35;59.86;25.73;103.52;95.6;101.16;106.17;-76.84;9907.9
2013-09-01;84968;93.97;60.04;25.65;104.06;96.33;101.51;107.26;-76.84;9186.1
2013-08-01;84968;94.15;60.04;25.65;103.89;96.65;101.56;107.08;-76.84;8290.5
2013-07-01;84968;93.85;60.04;25.65;104;95.84;101.75;107.12;-76.84;8433.4
2013-06-01;85081;94.34;60;26.06;103.05;95.83;101.5;106.6;-76.84;7762.7
2013-05-01;85081;94.2;60;26.06;103.02;94.94;101.78;106.86;-76.84;8320.6
2013-04-01;85081;94.03;60;26.06;101.84;94.38;102.14;107.23;-76.84;8419
2013-03-01;85315;93.68;60.18;26.94;103.08;95.41;103.04;108.91;-76.84;7920
2013-02-01;85315;93.35;60.18;26.94;104.65;94.61;103.79;109.09;-76.84;8230.3
2013-01-01;85315;93.19;60.18;26.94;104.4;95.14;103.64;108.64;-76.84;8362.3
2012-12-01;84431;94.39;60.23;25.77;103.17;94.36;103.65;108.42;-119.1;8167.5
2012-11-01;84431;94.33;60.23;25.77;103.16;93.97;103.9;108.99;-119.1;7934.6
2012-10-01;84431;94.45;60.23;25.77;103.69;96.24;104.26;109.8;-119.1;7842.9
2012-09-01;85831;93.65;60.55;24.79;103.91;95.76;104.37;110.59;-119.1;7708.5
2012-08-01;85831;92.74;60.55;24.79;103.99;98.87;104.27;110.72;-119.1;7420.5
2012-07-01;85831;92.22;60.55;24.79;102.73;96.95;104.22;109.51;-119.1;6738.1
2012-06-01;86280;92.43;60.5;24.4;101.71;97.69;104.09;108.44;-119.1;7102.2
2012-05-01;86280;92.61;60.5;24.4;102.35;97.62;103.93;110.21;-119.1;6089.8
2012-04-01;86280;92.74;60.5;24.4;102.45;97.14;103.74;110.63;-119.1;7011
2012-03-01;87158;91.46;60.31;24.19;103.14;97.92;103.68;111.03;-119.1;8008
2012-02-01;87158;90.85;60.31;24.19;102.44;99.47;103.36;109.06;-119.1;8465.9
2012-01-01;87158;90.75;60.31;24.19;101.69;100.69;103.09;108.86;-119.1;8509.2
2011-12-01;87480;91.76;60.29;22.56;99.91;102.31;101.86;107.8;-103.61;8566.3
2011-11-01;87480;91.64;60.29;22.56;99.9;101.11;101.77;107.23;-103.61;8449.5
2011-10-01;87480;91.27;60.29;22.56;99.78;101.66;101.81;107.09;-103.61;8954.9
2011-09-01;88515;90.56;60.44;21.28;99.63;103.16;101.79;107.14;-103.61;8546.6
2011-08-01;88515;90.34;60.44;21.28;99.44;104.58;101.85;106.1;-103.61;8718.6
2011-07-01;88515;90.23;60.44;21.28;99.82;104.67;101.81;105.99;-103.61;9630.7
2011-06-01;89261;90.71;60.44;20.64;99.06;104.45;101.61;105.31;-103.61;10359.9
2011-05-01;89261;90.84;60.44;20.64;99.03;104.06;101.57;105.42;-103.61;10476
2011-04-01;89261;90.87;60.44;20.64;99.27;104.92;101.61;105.02;-103.61;10878.9
2011-03-01;89330;89.75;60.16;21.08;98.72;105.42;101.21;104.51;-103.61;10576.5
2011-02-01;89330;89.09;60.16;21.08;97.95;106.28;100.95;103.33;-103.61;10850.8
2011-01-01;89330;88.98;60.16;21.08;97.01;105.85;100.54;102.52;-103.61;10806
2010-12-01;89788;89.63;60.25;20.11;95.17;105.37;99.19;100.35;-102.19;9859.1
2010-11-01;89788;89.08;60.25;20.11;94.07;108.02;98.13;98.24;-102.19;9267.2
2010-10-01;89788;88.6;60.25;20.11;93.56;105.5;97.43;97.14;-102.19;10812.9
2010-09-01;89319;87.8;60.37;19.59;93.22;104.86;97.58;97.7;-102.19;10514.5
2010-08-01;89319;87.74;60.37;19.59;93.03;104.22;97.39;97.44;-102.19;10187
2010-07-01;89319;87.52;60.37;19.59;92.77;105.12;97.41;97.19;-102.19;10499.8
2010-06-01;89118;87.91;60.41;19.89;92.86;106.32;97.54;98.23;-102.19;9263.4
2010-05-01;89118;87.76;60.41;19.89;92.79;106.23;96.72;97.48;-102.19;9359.4
2010-04-01;89118;87.56;60.41;19.89;92.52;106.71;95.75;95.69;-102.19;10492.2
2010-03-01;89343;86.64;60.09;19.84;91.36;106.34;94.53;94.3;-102.19;10871.3
2010-02-01;89343;86;60.09;19.84;90.57;104.06;93.96;93.03;-102.19;10333.6
2010-01-01;89343;86.16;60.09;19.84;90.39;104.05;93.35;91.66;-102.19;10947.7
2009-12-01;88749;87.03;59.99;18.66;89.51;104.96;93;90.73;-120.58;11940
2009-11-01;88749;87.05;59.99;18.66;89.43;105.54;92.91;89.89;-120.58;11644.7
2009-10-01;88749;86.58;59.99;18.66;89.43;105.98;92.65;89.47;-120.58;11414.8
2009-09-01;88903;85.97;60.05;17.75;89.51;106.26;92.48;89.22;-120.58;11756.1
2009-08-01;88903;86.17;60.05;17.75;89.91;105.21;92.57;89.3;-120.58;11365.1
2009-07-01;88903;85.87;60.05;17.75;89.35;104.74;92.13;88.46;-120.58;10855.1
2009-06-01;89055;86.61;60.3;17.77;89.51;103.76;92.22;88.63;-120.58;9787.8
2009-05-01;89055;86.23;60.3;17.77;88.95;102.79;91.78;87.87;-120.58;9424.3
2009-04-01;89055;86.26;60.3;17.77;88.87;103.45;91.78;87.87;-120.58;9038
2009-03-01;89733;85.43;60.39;17.24;89.11;102.57;91.78;87.62;-120.58;7815
2009-02-01;89733;85.29;60.39;17.24;89.59;105.32;92.39;88.63;-120.58;7620.9
2009-01-01;89733;85.28;60.39;17.24;89.59;105.61;92.13;88.63;-120.58;8450.4
2008-12-01;91815;86.35;60.35;13.79;89.19;106.59;92.3;89.05;-50.73;9195.8
2008-11-01;91815;86.79;60.35;13.79;91.1;112.45;94.48;92.84;-50.73;8910.6
2008-10-01;91815;87.16;60.35;13.79;93.41;115.21;95.97;96.37;-50.73;9116
2008-09-01;92485;86.86;60.23;11.23;94.6;122.53;97.28;98.39;-50.73;10987.5
2008-08-01;92485;86.88;60.23;11.23;95.16;123.15;97.1;99.15;-50.73;11707.3
2008-07-01;92485;87.07;60.23;11.23;95.8;126.48;96.93;99.91;-50.73;11881.3
2008-06-01;92994;87.49;60.07;10.36;94.13;124.61;96.14;99.4;-50.73;12046.2
2008-05-01;92994;86.99;60.07;10.36;93.09;128.66;95.36;97.55;-50.73;13600.9
2008-04-01;92994;86.4;60.07;10.36;91.98;132.04;94.48;94.94;-50.73;13798.3
2008-03-01;92552;85.48;59.67;9.6;91.42;131.24;94.05;94.1;-50.73;13269
2008-02-01;92552;84.73;59.67;9.6;90.62;133.67;93.7;93.85;-50.73;13170.4
2008-01-01;92552;84.6;59.67;9.6;90.07;133.78;93.35;93.17;-50.73;13229
2007-12-01;91693;85.13;59.47;8.57;88.87;133.37;93;92.67;20.29;15182.3
2007-11-01;91693;84.77;59.47;8.57;88.56;133.63;92.83;92;20.29;15759.9
2007-10-01;91693;84.17;59.47;8.57;88;134.63;92.74;91.58;20.29;15890.5
2007-09-01;89784;83.09;59.5;8.01;87.36;134.38;92.57;90.65;20.29;14576.5
2007-08-01;89784;82.82;59.5;8.01;87.12;133.87;92.83;90.48;20.29;14479.8
2007-07-01;89784;82.7;59.5;8.01;86.96;133.72;92.74;90.48;20.29;14802.4
2007-06-01;89111;83.31;59.23;7.93;86.81;136.16;92.83;90.06;20.29;14892
2007-05-01;89111;83.16;59.23;7.93;86.65;136.29;92.65;89.3;20.29;15329.4
2007-04-01;89111;82.93;59.23;7.93;86.25;133.17;92.13;88.8;20.29;14374.6
2007-03-01;87924;81.8;58.9;8.42;85.77;135.69;92.22;88.04;20.29;14641.7
2007-02-01;87924;81.18;58.9;8.42;85.21;134.05;91.87;87.7;20.29;14248.4
2007-01-01;87924;81.13;58.9;8.42;84.74;134.77;91.26;87.11;20.29;14553.2
2006-12-01;85922;81.68;58.88;8.26;84.1;135.69;91.17;88.12;21.32;14146.5
2006-11-01;85922;81.46;58.88;8.26;84.02;134.06;91.34;88.38;21.32;13849.3
2006-10-01;85922;81.25;58.88;8.26;84.1;132.35;91.52;88.71;21.32;13753
2006-09-01;84469;80.92;58.74;8.08;84.34;132.58;91.43;88.88;21.32;12934.7
2006-08-01;84469;81.06;58.74;8.08;84.82;131.62;91.34;89.89;21.32;12144.7
2006-07-01;84469;80.89;58.74;8.08;84.74;131.93;91.26;89.98;21.32;11818
2006-06-01;83007;81.37;58.63;8.44;84.26;132.22;90.82;89.13;21.32;11548.1
2006-05-01;83007;81.25;58.63;8.44;84.1;131.78;90.73;88.97;21.32;11340.5
2006-04-01;83007;80.96;58.63;8.44;83.54;130.16;90.47;89.05;21.32;11892.5
2006-03-01;81209;79.83;58.3;9.03;83.07;130.97;90.12;88.12;21.32;11854.3
2006-02-01;81209;79.27;58.3;9.03;82.83;130.29;89.77;87.87;21.32;11740.7
2006-01-01;81209;79.23;58.3;9.03;82.19;130.51;89.42;86.95;21.32;11104.3
2005-12-01;79735;79.56;58.08;8.71;81;129.64;88.64;86.19;11.42;10733.9
2005-11-01;79735;79.39;58.08;8.71;81;128.62;88.38;86.44;11.42;10557.8
2005-10-01;79735;79.27;58.08;8.71;81.08;127.01;88.55;86.36;11.42;10493.8
2005-09-01;77968;78.63;57.86;8.41;80.76;127.62;88.2;86.19;11.42;10813.9
2005-08-01;77968;78.15;57.86;8.41;80.12;128.13;87.59;85.68;11.42;10008.9
2005-07-01;77968;77.81;57.86;8.41;79.57;127.19;87.42;85.09;11.42;10115.6
2005-06-01;76477;78.28;57.86;9.32;79.17;127.03;87.16;84.17;11.42;9783.2
2005-05-01;76477;78.1;57.86;9.32;78.93;126.41;86.55;82.57;11.42;9427.1
2005-04-01;76477;77.95;57.86;9.32;79.01;127.43;86.63;82.91;11.42;9001.6
2005-03-01;74938;76.85;57.38;10.17;78.53;126.21;86.2;82.15;11.42;9258.8
2005-02-01;74938;76.24;57.38;10.17;77.97;125.32;86.02;81.31;11.42;9391
2005-01-01;74938;76.05;57.38;10.17;77.5;124.76;85.59;80.89;11.42;9223.9
